Carrera,Universidad,Facultad,Sede,Departamento,Fecha Inicio,Fecha Finalización,Tipo de Universidad
Ingeniería Civil,Universidad Nacional de Concepción,Ciencias Exactas y Tecnologías,Concepción,Concepción,2022-12-21,2026-12-21,Nacional
Lic. en Artes Visuales,Universidad Nacional de Asunción,"Arquitectura, Diseño y Arte",San Lorenzo,Central,2022-12-21,2026-12-21,Nacional
Licenciatura en Administración,Universidad Nacional de Concepción,Ciencias Económicas y Administrativas,Concepción,Concepción,2022-12-21,2026-12-21,Nacional
Ingeniería Ambiental,Universidad Nacional de Itapúa,Ciencias y Tecnología,Encarnación,Itapúa,2022-12-21,2026-12-21,Nacional
Nutrición,Universidad del Norte,Medicina,Asunción,Central,2022-12-21,2026-12-21,Privada
Lic. Trabajo Social,Universidad Nacional de Asunción,Ciencias Sociales,San Lorenzo,Central,2022-12-21,2026-12-21,Nacional
Ingeniería Informática,Universidad Nacional de Itapúa,Ingeniería,Encarnación,Itapúa,2022-12-21,2026-12-21,Nacional
Medicina,Universidad Nacional de Asunción,Ciencias Médicas,Santa Rosa del Aguaray,San Pedro,2022-12-22,2026-12-22,Nacional
Contaduría Pública,Universidad de la Integración de las Américas,Gestión,Asunción,Central,2022-12-22,2026-12-22,Privada
Ingeniería Ambiental,Universidad Nacional de Asunción,Ciencias Agrarias,San Lorenzo,Central,2022-12-22,2026-12-22,Nacional
Lic. en Ciencias Mención Química,Universidad Nacional de Asunción,Ciencias Exactas y Naturales,San Lorenzo,Central,2022-12-22,2026-12-22,Nacional
Ingeniería Agronómica,Universidad Nacional de Asunción,Ciencias Agrarias,San Lorenzo,Central,2022-12-22,2028-12-22,Nacional
Contador Público Nacional,Universidad Católica Nuestra Señora de la Asunción,"Ciencias Contables, Administrativas y Económicas",Carapegua,Paraguarí,2022-12-22,2026-12-22,Privada
Enfermería,Universidad del Norte,Medicina,Ciudad del Este,Alto Paraná,2022-12-22,2026-12-22,Privada
Lic. Análisis de Sistemas Informáticos,Universidad Nacional del Este,Politécnica,Ciudad del Este,Alto Paraná,2022-12-22,2026-12-22,Nacional
Lic. en Ciencias Mención Matemática Estadística,Universidad Nacional de Asunción,Ciencias Exactas y Naturales,San Lorenzo,Central,2022-12-22,2026-12-22,Nacional
Lic. en Ciencias Administrativas,Universidad Tecnológica Intercontinental,Ciencias Empresariales,Fernando de la Mora,Central,2022-12-22,2026-12-22,Privada
Ingeniería Mecatrónica,Universidad Nacional de Asunción,Ingeniería,San Lorenzo,Central,2022-12-22,2028-12-22,Nacional
Enfermería,Universidad Nacional del Este,Ciencias de la Salud,Minga Guazú,Alto Paraná,2022-12-22,2028-12-22,Nacional
Ingeniería en Ecología Humana,Universidad Nacional de Asunción,Ciencias Agrarias,San Lorenzo,Central,2022-12-22,2026-12-22,Nacional
Lic. en Matemática,Universidad Nacional de Itapúa,"Humanidades, Ciencias Sociales y Cultura Guaraní",Encarnación,Itapúa,2022-12-22,2026-12-22,Nacional
Psicología Clínica,Universidad Autónoma de Asunción,Ciencias de la Salud,Asunción,Central,2022-12-22,2026-12-22,Privada
Lic. en Ciencias de la Comunicación,Universidad Nacional del Este,Filosofía,Ciudad del Este,Alto Paraná,2022-12-22,2026-12-22,Nacional
Lic. en Ciencias Informática,Universidad Autónoma de Asunción,Ciencias y Tecnología,Asunción,Central,2022-12-22,2026-12-22,Privada
Medicina,Universidad Nacional de Itapúa,Medicina,Encarnación,Itapúa,2022-12-22,2026-12-22,Nacional
Ingeniería Agronómica,Universidad Nacional de Asunción,Ciencias Agrarias,San Pedro del Ycamandyyú,San Pedro,2022-12-22,2028-12-22,Nacional
Lic. en Ciencia y Tecnología de Alimentos,Universidad Nacional de Asunción,Ciencias Químicas,San Lorenzo,Central,2022-12-22,2028-12-22,Nacional
Ingeniería Agronómica,Universidad Nacional de Asunción,Ciencias Agrarias,Santa Rosa Misiones,Misiones,2022-12-22,2028-12-22,Nacional
Lic. en Lengua Alemana,Universidad Nacional de Asunción,Instituto Superior de Lenguas - Facultad de Filosofía,Asunción,Central,2023-03-09,2027-03-09,Nacional
Medicina,Universidad de la Integración de las Américas,Ciencias de la Salud,Asunción,Central,2023-03-16,2027-03-16,Privada
Kinesiología y Fisioterapia,Universidad de la Integración de las Américas,Ciencias de la Salud,Asunción,Central,2023-03-16,2027-03-16,Privada
Nutrición,Universidad del Pacífico Privada,Ciencias Médicas,Asunción,Central,2023-03-16,2027-03-16,Privada
Licenciatura en Administración de Empresas,Universidad Autónoma San Sebastián,Comercio y Administración,San Lorenzo,Central,2023-03-16,2027-03-16,Privada
Lic. en Filosofía,Universidad Nacional de Asunción,Filosofía,Asunción,Central,2023-04-24,2027-04-24,Nacional
Derecho,Universidad Tecnológica Intercontinental,Derecho y Ciencias Sociales,Encarnación,Itapúa,2023-04-24,2027-04-24,Privada
Nutrición,Universidad de la Integración de las Américas,Ciencias de la Salud,Asunción,Central,2023-05-11,2027-05-11,Privada
Lic. en Educación Matemática,Universidad Nacional de Asunción,Ciencias Exactas y Naturales,San Lorenzo,Central,2023-06-08,2027-06-08,Nacional
Lic. en Historia,Universidad Nacional del Este,Filosofía,Ciudad del Este,Alto Paraná,2023-06-21,2029-06-21,Nacional
Lic. en Ciencias mención en Biología,Universidad Nacional de Asunción,Ciencias Exactas y Naturales,San Lorenzo,Central,2023-06-21,2027-06-21,Nacional
Ingeniería Informática,Universidad Autónoma de Asunción,Ciencias y Tecnología,Asunción,Central,2023-06-21,2027-06-21,Privada
Lic. en Kinesiología y Fisioterapia,Universidad La Paz,Ciencias de la Salud,Ciudad del Este,Alto Paraná,2023-06-21,2027-06-21,Privada
Lic. en Ciencias del Deporte,Universidad Autónoma de Asunción,Ciencias de la Salud,Asunción,Central,2023-06-21,2027-06-21,Privada
Lic. en Fisioterapia y Kinesiología,Universidad del Norte,Ciencias de la Salud,Asunción,Central,2023-07-05,2027-07-05,Privada
Tecnología de la Información Empresarial,Universidad Paraguayo Alemana,Ciencias Empresariales,San Lorenzo,Central,2023-07-05,2027-07-05,Privada
Licenciatura en Enfermería,Universidad Nacional de Villarrica del Espíritu Santo,Ciencias de la Salud,Villarrica,Guairá,2023-07-05,2027-07-05,Nacional
Fonoaudiología,Universidad Católica Nuestra Señora de la Asunción,Ciencias de la Salud,Asunción,Central,2023-07-20,2027-07-20,Privada
Lic. en Educación de Ciencias Básicas y sus Tecnologías,Universidad Nacional de Asunción,Ciencias Exactas y Naturales,San Lorenzo,Central,2023-08-04,2029-08-04,Nacional
Lic. en Marketing y Publicidad,Universidad Autónoma de Asunción,Ciencias Económicas y Empresariales,Asunción,Central,2023-08-04,2027-08-04,Privada
Odontología,Universidad Hispano Guaraní,Ciencias de la Salud,Asunción,Central,2023-08-16,2027-08-16,Privada
Química y Farmacia,Universidad Católica Nuestra Señora de la Asunción,Ciencias de la Salud,Alto Paraná,Alto Paraná,2023-08-16,2027-08-16,Privada
Bioquímica,Universidad Internacional Tres Fronteras,Ciencias de la Salud,Ciudad del Este,Alto Paraná,2023-09-20,2027-09-20,Privada
Economía,Universidad Nacional del Este,Ciencias Económicas,Ciudad del Este,Alto Paraná,2023-09-20,2027-09-20,Nacional
Lic. en Nutrición,Universidad Autónoma de Asunción,Ciencias de la Salud,Asunción,Central,2023-10-04,2027-10-04,Privada
Lic. Ciencias de la Educación,Universidad Nacional de Itapúa,"Humanidades, Ciencias Sociales y Cultura Guaraní",Encarnación,Itapúa,2023-10-04,2027-10-04,Nacional
Licenciatura en Enfermería,Universidad Nacional de Caaguazú,Ciencias de la Salud,Coronel Oviedo,Caaguazú,2023-10-04,2029-10-04,Nacional
Lic. Ciencias de la Educación,Universidad Nihon Gakko,Humanidades y Ciencias de la Educación,Fernando de la Mora,Central,2023-10-04,2027-10-04,Privada
Lic. en Educación Física,"Instituto Superior de Educación ""Divina Esperanza""","Instituto Superior de Educación ""Divina Esperanza""",Encarnación,Itapúa,2023-10-04,2027-10-04,Privada
Medicina,Universidad del Pacífico Privada,Ciencias Médicas,Pedro Juan Caballero,Amambay,2023-10-04,2027-10-04,Privada
Ciencias de la Comunicación,Universidad Nacional de Asunción,Filosofía,Asunción,Central,2023-10-04,2027-10-04,Nacional
Ingeniería Comercial,Universidad Autónoma de Asunción,Ciencias Económicas y Empresariales,Asunción,Central,2023-10-18,2027-10-18,Privada
Derecho,Universidad Tecnológica Intercontinental,Derecho y Ciencias Sociales,San Lorenzo,Central,2023-10-18,2027-10-18,Privada
Licenciatura en Enfermería,Universidad Iberoamericana,Ciencias de la Salud,Asunción,Central,2023-10-18,2029-10-18,Privada
Enfermería,Universidad María Auxiliadora,Ciencias de la Salud,Asunción,Central,2023-10-18,2027-10-18,Privada
Licenciatura en Enfermería,Universidad Politécnica y Artística del Paraguay,Ciencias de la Salud,San Lorenzo,Central,2023-10-18,2027-10-18,Privada
Administración de Empresas,Universidad Iberoamericana,Ciencias Contables y Administrativas,Asunción,Central,2023-10-25,2027-10-25,Privada
Ciencias de la Educación,Universidad Nacional de Pilar,Humanidades y Ciencias de la Educación,Pilar,Ñeembucu,2023-10-25,2027-10-25,Nacional
Periodismo,Universidad del Norte,Educación y Ciencias Humanas,Asunción,Central,2023-11-08,2027-11-08,Privada
Instrumentación y Área Quirúrgica,Universidad Nacional de Asunción,Ciencias Médicas,San Lorenzo,Central,2023-11-08,2027-11-08,Nacional
Economía,Universidad Nacional de Asunción,Ciencias Económicas,San Lorenzo,Central,2023-11-08,2029-11-08,Nacional
Ingeniería Agronómica,Universidad Nacional de Asunción,Ciencias Agrarias,Pedro Juan Caballero,Amambay,2023-11-08,2027-11-08,Nacional
Lic. Análisis de Sistemas Informáticos,Universidad Católica Nuestra Señora de la Asunción,Ciencias y Tecnología,Asunción,Central,2023-11-08,2027-11-08,Privada
Lic. en Turismo y Hotelería,Universidad Columbia del Paraguay,-,Asunción,Central,2023-11-08,2027-11-08,Privada
Ingeniería Eléctrica,Universidad Nacional del Este,Politécnica,Ciudad del Este,Alto Paraná,2023-11-08,2029-11-08,Nacional
Ciencias Veterinarias,Universidad Nacional de Asunción,Ciencias Veterinarias,Caazapá,Caazapá,2023-11-08,2029-11-08,Nacional
Contador Público Nacional,Universidad Católica Nuestra Señora de la Asunción,Ciencias Contables y Administrativas,Guairá,Guairá,2023-11-08,2029-11-08,Privada
Química y Farmacia,Universidad La Paz,Ciencias de la Salud,Ciudad del Este,Alto Paraná,2023-11-08,2027-11-08,Privada
Enfermería,Universidad Iberoamericana,Ciencias de la Salud,San Lorenzo,Central,2023-11-08,2027-11-08,Privada
Ingeniería Informática,Universidad del Cono Sur de las Américas,-,Asunción,Central,2023-11-15,2027-11-15,Privada
Ingeniería en Electrónica,Universidad Nacional de Asunción,Ingeniería,San Lorenzo,Central,2023-11-15,2029-11-15,Nacional
Licenciatura en Enfermería,Universidad Politécnica y Artística del Paraguay,Ciencias de la Salud,Luque,Central,2023-11-15,2029-11-15,Privada
Comercio Internacional,Universidad Católica Nuestra Señora de la Asunción,Ciencias Contables y Administrativas,Alto Paraná,Alto Paraná,2023-11-15,2027-11-15,Privada
Contabilidad,Universidad Nacional del Este,Economía,Ciudad del Este,Alto Paraná,2023-11-15,2027-11-15,Nacional
Lic. en Educación de Ciencias Básicas y sus Tecnologías,Universidad Nacional de Asunción,Ciencias Exactas y Naturales,San Lorenzo,Central,2023-11-24,2027-11-24,Nacional
Arquitectura,Universidad Católica Nuestra Señora de la Asunción,Ciencias y Tecnología,Asunción,Central,2023-11-24,2027-11-24,Privada
Arquitectura,Universidad Nacional de Asunción,"Arquitectura, Diseño y Arte",San Lorenzo,Central,2023-11-24,2029-11-24,Nacional
Enfermería,Universidad Católica Nuestra Señora de la Asunción,Ciencias de la Salud,Caaguazú,Caaguazú,2023-11-24,2027-11-24,Privada
Licenciatura en Enfermería,Universidad Nacional de Asunción,Enfermería y Obstetricia,Coronel Oviedo,Caaguazú,2023-11-24,2029-11-24,Nacional
Medicina,Universidad Sudamericana,Ciencias de la Salud,Pedro Juan Caballero,Amambay,2023-11-28,2027-11-28,Privada
Ingeniería Civil,Universidad Nacional de Asunción,Ingeniería,San Lorenzo,Central,2023-11-29,2027-11-29,Nacional
Bioquímica,Universidad Católica Nuestra Señora de la Asunción,Ciencias Químicas,Alto Paraná,Alto Paraná,2023-11-29,2027-11-29,Privada
Marketing,Universidad Católica Nuestra Señora de la Asunción,Ciencias Contables y Administrativas,Alto Paraná,Alto Paraná,2023-11-29,2027-11-29,Privada
Lic. en Educación Matemática,Universidad Nacional de Asunción,Ciencias Exactas y Naturales,San Lorenzo,Central,2023-11-29,2027-11-29,Nacional
Derecho,Universidad Católica Nuestra Señora de la Asunción,Ciencias Jurídicas y Diplomáticas,Asunción,Central,2023-11-29,2027-11-29,Privada
Licenciatura en Enfermería,Centro Educativo Superior en Salud,.,Ypacaraí,Central,2023-12-06,2027-12-06,Privada
Licenciatura en Enfermería,Universidad Politécnica y Artística del Paraguay,Ciencias de la Salud,Ñemby,Central,2023-12-06,2027-12-06,Privada
Enfermería,Universidad Nacional de Asunción,Enfermería y Obstetricia,San Lorenzo,Central,2023-12-06,2029-12-06,Nacional
Contabilidad,Universidad Autónoma de Asunción,Ciencias Económicas y Empresariales,Asunción,Central,2023-12-06,2027-12-06,Privada
Tecnología en Producción,Universidad Nacional de Asunción,Ciencias Exactas y Naturales,San Lorenzo,Central,2023-12-06,2027-12-06,Nacional
Derecho,Universidad Católica Nuestra Señora de la Asunción,Ciencias Jurídicas,Guairá,Guairá,2023-12-06,2027-12-06,Privada
Veterinaria,Universidad Nacional de Asunción,Ciencias Veterinarias,San Juan Bautista,Misiones,2023-12-06,2029-12-06,Nacional
Matemática Estadística,Universidad Nacional de Asunción,Ciencias Exactas y Naturales,San Lorenzo,Central,2023-12-06,2027-12-06,Nacional
Ingeniería Agronómica,Universidad Columbia del Paraguay,.,Asunción,Central,2023-12-13,2027-12-13,Privada
Psicología,Universidad Columbia del Paraguay,-,Asunción,Central,2023-12-13,2027-12-13,Privada
Psicología,Universidad Católica Nuestra Señora de la Asunción,Filosofia y Ciencias Humanas,Asunción,Central,2023-12-13,2027-12-13,Privada
Administración de Empresas,Universidad Americana,Ciencias Económicas y Administrativas,Asunción,Central,2023-12-13,2027-12-13,Privada
Derecho,Universidad Tecnológica Intercontinental,Derecho y Ciencias Sociales,Asunción,Central,2023-12-13,2027-12-13,Privada
Psicología Empresarial,Universidad del Cono Sur de las Américas,.,Asunción,Central,2023-12-13,2027-12-13,Privada
Medicina,Universidad Nacional de Asunción,Ciencias Médicas,San Lorenzo,Central,2023-12-13,2029-12-13,Nacional
Contaduría Pública,Universidad Iberoamericana,Ciencias Contables y Administrativas,Asunción,Central,2023-12-13,2027-12-13,Privada
Arquitectura,Universidad Católica Nuestra Señora de la Asunción,Ciencias y Tecnología,Alto Paraná,Alto Paraná,2023-12-13,2029-12-13,Privada
Enfermería,Universidad Nacional de Asunción,Enfermería y Obstetricia,Concepción,Concepción,2023-12-13,2029-12-13,Nacional
Enfermería,Universidad Nacional de Asunción,Enfermería y Obstetricia,San Estanislao,San Pedro,2023-12-13,2029-12-13,Nacional
Kinesiología y Fisioterapia,Universidad Iberoamericana,Ciencias de la Salud,Asunción,Central,2023-12-13,2027-12-13,Privada
Medicina,Universidad Central del Paraguay,Ciencias de la Salud,Pedro Juan Caballero,Amambay,2023-12-13,2027-12-13,Privada
Derecho,Universidad de la Integración de las Américas,Ciencias Jurídicas y Relaciones Internacionales,Asunción,Central,2023-12-13,2027-12-13,Privada
Derecho,Universidad Católica Nuestra Señora de la Asunción,Ciencias Jurídicas y Diplomáticas,Pedro Juan Caballero,Amambay,2023-12-13,2027-12-13,Privada
Derecho,Universidad Americana,"Derecho, Ciencias Políticas y Sociales",Asunción,Central,2023-12-13,2029-12-13,Privada
Administración Agropecuaria,Universidad Nacional de Asunción,Ciencias Agrarias,Pedro Juan Caballero,Amambay,2023-12-15,2027-12-15,Nacional
Administración,Universidad Católica Nuestra Señora de la Asunción,Ciencias Contables y Administrativas,Alto Paraná,Alto Paraná,2023-12-15,2027-12-15,Privada
Derecho,Universidad de la Integración de las Américas,Educación a Distancia y Semipresencial,Asunción,Central,2023-12-15,2029-12-15,Privada
Medicina,Universidad Politécnica y Artística del Paraguay,Ciencias de la Salud,Pedro Juan Caballero,Amambay,2023-12-15,2027-12-15,Privada
Ingeniería de Sistemas,Universidad Nacional del Este,Politécnica,Ciudad del Este,Alto Paraná,2023-12-15,2029-12-15,Nacional
Ingeniería Electromecánica,Universidad Católica Nuestra Señora de la Asunción,Ciencias y Tecnología,Alto Paraná,Alto Paraná,2023-12-15,2029-12-15,Privada
Medicina,Universidad Católica Nuestra Señora de la Asunción,Ciencias de la Salud,Guairá,Guairá,2023-12-15,2027-12-15,Privada
Medicina,Universidad Politécnica y Artística del Paraguay,Ciencias de la Salud,San Lorenzo,Central,2023-12-19,2027-12-19,Privada
Derecho,Universidad Nacional de Pilar,"Derecho, Ciencias Políticas y Sociales",Pilar,Ñeembucu,2023-12-19,2029-12-19,Nacional
Ingeniería Electromecánica,Universidad Nacional de Asunción,Ingeniería,San Lorenzo,Central,2023-12-19,2029-12-19,Nacional
Administración de Empresas,Universidad de la Integración de las Américas,Facultad de Educación a Distancia,Asunción,Central,2023-12-19,2027-12-19,Privada
Veterinaria,Universidad Nacional de Asunción,Ciencias Veterinarias,Concepción,Concepción,2023-12-19,2027-12-19,Nacional
Medicina,Universidad Privada del Este,Ciencias Médicas,Presidente Franco,Alto Paraná,2024-03-05,2028-03-05,Privada
Ingeniería Electrónica,Universidad Nacional de Asunción,Politécnica,San Lorenzo,Central,2024-04-24,2030-04-24,Nacional
Odontología,Universidad Autónoma del Paraguay,Odontología,Asunción,Central,2024-05-29,2028-05-29,Privada
Contaduría Pública,Universidad La Paz,Ciencias Empresariales,Ciudad del Este,Alto Paraná,2024-05-29,2030-05-29,Privada
Ciencias Contables,Universidad Privada del Este,Ciencias Administrativas y Contables,Presidente Franco,Alto Paraná,2024-05-29,2028-05-29,Privada
